WELL,DEPTH,GR,RHOB,NPHI,PEF,DT,DTS,RT
15/9-F-11 A,3292.7,6.911,2.554,0.084,7.928,62.292,111.521,6.126
15/9-F-11 A,3292.8,7.385,2.551,0.083,7.941,62.293,111.529,6.145
15/9-F-11 A,3292.9,7.136,2.551,0.08,7.953,62.276,111.349,6.039
15/9-F-11 A,3293.0,7.547,2.553,0.077,7.937,62.197,110.993,6.061
15/9-F-11 A,3293.1,7.841,2.559,0.078,7.901,62.159,110.593,6.214
15/9-F-11 A,3293.2,8.264,2.566,0.078,7.881,62.185,110.149,6.293
15/9-F-11 A,3293.3,8.512,2.572,0.076,7.882,62.208,110.877,6.319
15/9-F-11 A,3293.4,8.064,2.575,0.077,7.897,62.255,111.829,6.328
15/9-F-11 A,3293.5,8.403,2.574,0.077,7.912,62.344,112.901,6.323
15/9-F-11 A,3293.6,9.172,2.573,0.08,7.934,62.304,113.555,6.333
15/9-F-11 A,3293.7,9.569,2.574,0.081,7.955,62.263,113.895,6.346
15/9-F-11 A,3293.8,9.673,2.577,0.081,7.963,62.276,113.723,6.382
15/9-F-11 A,3293.9,9.878,2.578,0.083,7.953,62.245,113.057,6.437
15/9-F-11 A,3294.0,10.801,2.578,0.082,7.933,62.19,112.34,6.485
15/9-F-11 A,3294.1,11.225,2.576,0.081,7.918,62.1,111.85,6.534
15/9-F-11 A,3294.2,10.367,2.575,0.08,7.925,61.997,111.44,6.626
15/9-F-11 A,3294.3,10.114,2.574,0.08,7.961,61.911,111.15,6.652
15/9-F-11 A,3294.4,10.765,2.576,0.08,8.015,61.905,111.196,6.659
15/9-F-11 A,3294.5,10.703,2.579,0.079,8.055,61.968,111.18,6.637
15/9-F-11 A,3294.6,10.297,2.583,0.078,8.06,62.107,111.288,6.597
15/9-F-11 A,3294.7,10.527,2.585,0.076,8.01,62.463,112.152,6.583
15/9-F-11 A,3294.8,10.579,2.586,0.076,7.925,62.899,112.721,6.607
15/9-F-11 A,3294.9,10.567,2.587,0.077,7.843,63.378,113.229,6.656
15/9-F-11 A,3295.0,11.668,2.587,0.079,7.802,63.847,114.495,6.689
15/9-F-11 A,3295.1,11.499,2.586,0.082,7.825,64.33,115.389,6.765
15/9-F-11 A,3295.2,13.679,2.586,0.084,7.894,64.812,116.029,6.902
15/9-F-11 A,3295.3,16.06,2.587,0.085,7.973,65.159,116.646,6.875
15/9-F-11 A,3295.4,17.654,2.588,0.084,8.012,65.339,116.961,6.766
15/9-F-11 A,3295.5,19.528,2.589,0.083,7.98,65.371,117.01,6.643
15/9-F-11 A,3295.6,20.541,2.589,0.083,7.906,65.017,116.384,6.579
15/9-F-11 A,3295.7,20.657,2.588,0.084,7.83,64.707,115.949,6.669
15/9-F-11 A,3295.8,19.904,2.588,0.083,7.774,64.442,115.703,6.676
15/9-F-11 A,3295.9,20.026,2.588,0.082,7.748,64.091,115.203,6.698
15/9-F-11 A,3296.0,18.549,2.587,0.079,7.749,63.761,114.728,6.75
15/9-F-11 A,3296.1,16.162,2.584,0.076,7.772,63.456,114.292,6.783
15/9-F-11 A,3296.2,14.578,2.582,0.075,7.786,63.234,114.108,6.773
15/9-F-11 A,3296.3,13.589,2.581,0.075,7.765,63.156,113.982,6.837
15/9-F-11 A,3296.4,13.999,2.582,0.078,7.705,63.28,113.914,6.857
15/9-F-11 A,3296.5,14.182,2.582,0.081,7.638,63.525,114.512,6.838
15/9-F-11 A,3296.6,15.678,2.582,0.084,7.599,63.894,114.897,6.804
15/9-F-11 A,3296.7,17.816,2.583,0.083,7.599,64.456,114.73,6.778
15/9-F-11 A,3296.8,18.424,2.584,0.084,7.62,64.848,114.741,6.717
15/9-F-11 A,3296.9,18.174,2.583,0.083,7.63,65.178,114.876,6.691
15/9-F-11 A,3297.0,18.532,2.58,0.079,7.619,65.449,115.212,6.631
15/9-F-11 A,3297.1,17.549,2.576,0.077,7.588,65.38,115.768,6.608
15/9-F-11 A,3297.2,16.536,2.575,0.078,7.551,65.176,116.288,6.488
15/9-F-11 A,3297.3,16.859,2.575,0.077,7.524,64.848,116.533,6.408
15/9-F-11 A,3297.4,17.076,2.576,0.077,7.52,64.757,116.785,6.53
15/9-F-11 A,3297.5,17.316,2.577,0.079,7.56,64.76,116.976,6.781
15/9-F-11 A,3297.6,16.779,2.579,0.081,7.623,64.803,116.933,6.865
15/9-F-11 A,3297.7,17.634,2.581,0.084,7.665,64.974,116.851,6.898
15/9-F-11 A,3297.8,20.354,2.584,0.084,7.661,65.166,116.592,6.65
15/9-F-11 A,3297.9,21.132,2.584,0.084,7.627,65.17,115.51,6.515
15/9-F-11 A,3298.0,19.687,2.584,0.081,7.618,65.158,114.648,6.391
15/9-F-11 A,3298.1,20.83,2.583,0.079,7.658,65.116,113.824,6.326
15/9-F-11 A,3298.2,21.108,2.584,0.078,7.728,64.914,112.353,6.368
15/9-F-11 A,3298.3,19.604,2.587,0.074,7.782,64.797,112.663,6.516
15/9-F-11 A,3298.4,19.413,2.59,0.076,7.779,64.747,114.124,6.594
15/9-F-11 A,3298.5,19.197,2.589,0.079,7.712,64.829,114.475,6.707
15/9-F-11 A,3298.6,19.09,2.586,0.08,7.617,64.937,115.819,6.849
15/9-F-11 A,3298.7,19.724,2.584,0.084,7.552,65.073,117.946,6.995
15/9-F-11 A,3298.8,20.675,2.583,0.086,7.557,65.43,117.422,6.757
15/9-F-11 A,3298.9,20.232,2.583,0.088,7.615,65.656,117.267,6.532
15/9-F-11 A,3299.0,20.774,2.582,0.087,7.679,65.751,117.487,6.579
15/9-F-11 A,3299.1,21.264,2.578,0.088,7.708,65.94,115.587,6.502
15/9-F-11 A,3299.2,21.53,2.574,0.088,7.698,66.002,114.693,6.463
15/9-F-11 A,3299.3,21.585,2.571,0.086,7.653,65.906,115.12,6.653
15/9-F-11 A,3299.4,21.163,2.57,0.085,7.575,65.695,114.288,6.768
15/9-F-11 A,3299.5,19.887,2.572,0.086,7.488,65.417,114.449,6.684
15/9-F-11 A,3299.6,19.158,2.577,0.088,7.435,65.051,116.26,6.634
15/9-F-11 A,3299.7,18.25,2.581,0.084,7.438,64.681,117.025,6.692
15/9-F-11 A,3299.8,18.886,2.583,0.082,7.471,64.412,117.356,6.785
15/9-F-11 A,3299.9,18.865,2.581,0.078,7.484,64.329,117.163,6.828
15/9-F-11 A,3300.0,19.135,2.579,0.079,7.465,64.108,116.496,6.849
15/9-F-11 A,3300.1,18.649,2.579,0.077,7.438,63.917,115.446,6.898
15/9-F-11 A,3300.2,17.172,2.582,0.077,7.431,63.86,113.744,6.999
15/9-F-11 A,3300.3,17.323,2.586,0.076,7.456,63.747,112.241,7.08
15/9-F-11 A,3300.4,17.58,2.588,0.076,7.512,63.657,110.875,7.109
15/9-F-11 A,3300.5,17.96,2.59,0.076,7.595,63.679,109.749,7.126
15/9-F-11 A,3300.6,19.105,2.592,0.077,7.687,63.87,109.72,7.134
15/9-F-11 A,3300.7,18.635,2.594,0.078,7.747,64.162,110.419,7.099
15/9-F-11 A,3300.8,17.36,2.594,0.079,7.754,64.603,112.361,7.026
15/9-F-11 A,3300.9,18.217,2.59,0.081,7.718,65.025,114.495,6.988
15/9-F-11 A,3301.0,18.951,2.586,0.082,7.665,65.413,116.725,6.993
15/9-F-11 A,3301.1,18.006,2.581,0.083,7.621,65.663,118.993,6.988
15/9-F-11 A,3301.2,18.202,2.577,0.083,7.598,65.798,119.312,6.998
15/9-F-11 A,3301.3,18.79,2.572,0.084,7.593,65.875,118.514,6.946
15/9-F-11 A,3301.4,20.161,2.568,0.084,7.602,65.998,117.723,6.859
15/9-F-11 A,3301.5,20.367,2.567,0.085,7.609,66.104,116.872,6.774
15/9-F-11 A,3301.6,20.932,2.57,0.086,7.604,66.199,116.033,6.626
15/9-F-11 A,3301.7,22.16,2.575,0.088,7.566,66.301,115.994,6.539
15/9-F-11 A,3301.8,21.984,2.578,0.09,7.492,66.453,116.469,6.609
15/9-F-11 A,3301.9,21.958,2.58,0.09,7.399,66.648,117.398,6.611
15/9-F-11 A,3302.0,23.74,2.579,0.094,7.308,66.871,119.113,6.642
15/9-F-11 A,3302.1,24.604,2.577,0.094,7.229,67.046,119.927,6.623
15/9-F-11 A,3302.2,23.989,2.573,0.095,7.174,67.171,119.808,6.417
15/9-F-11 A,3302.3,24.946,2.572,0.094,7.15,67.213,119.203,6.292
15/9-F-11 A,3302.4,25.325,2.574,0.095,7.17,67.111,117.696,6.144
15/9-F-11 A,3302.5,24.311,2.579,0.09,7.235,66.833,115.077,6.169
15/9-F-11 A,3302.6,24.722,2.584,0.088,7.325,66.516,113.33,6.443
15/9-F-11 A,3302.7,24.768,2.587,0.085,7.392,66.085,111.733,6.525
15/9-F-11 A,3302.8,23.095,2.59,0.083,7.412,65.486,110.249,6.586
15/9-F-11 A,3302.9,21.432,2.592,0.079,7.398,64.505,109.416,6.577
15/9-F-11 A,3303.0,19.003,2.593,0.078,7.402,63.495,108.977,6.732
15/9-F-11 A,3303.1,16.6,2.594,0.074,7.449,62.537,109.102,6.833
15/9-F-11 A,3303.2,16.362,2.594,0.07,7.525,61.917,109.321,6.962
15/9-F-11 A,3303.3,14.206,2.597,0.067,7.598,61.502,109.443,7.151
15/9-F-11 A,3303.4,13.94,2.599,0.065,7.648,61.394,109.292,7.362
15/9-F-11 A,3303.5,13.445,2.6,0.065,7.675,61.57,109.012,7.388
15/9-F-11 A,3303.6,12.811,2.599,0.063,7.689,61.869,108.726,7.411
15/9-F-11 A,3303.7,12.268,2.599,0.064,7.682,62.289,108.532,7.443
15/9-F-11 A,3303.8,12.018,2.598,0.065,7.645,62.948,108.935,7.436
15/9-F-11 A,3303.9,12.058,2.596,0.067,7.577,63.655,109.746,7.434
15/9-F-11 A,3304.0,13.001,2.593,0.073,7.491,64.202,111.282,7.406
15/9-F-11 A,3304.1,14.258,2.591,0.074,7.42,64.643,112.416,7.412
15/9-F-11 A,3304.2,15.978,2.593,0.077,7.387,65.005,113.276,7.535
15/9-F-11 A,3304.3,16.925,2.598,0.079,7.397,65.2,113.685,7.601
15/9-F-11 A,3304.4,17.74,2.601,0.08,7.431,65.138,113.413,7.489
15/9-F-11 A,3304.5,18.048,2.601,0.08,7.458,64.871,112.692,7.415
15/9-F-11 A,3304.6,18.349,2.598,0.078,7.465,64.136,111.54,7.448
15/9-F-11 A,3304.7,18.453,2.595,0.075,7.454,63.48,110.379,7.433
15/9-F-11 A,3304.8,16.749,2.593,0.071,7.441,62.893,109.283,7.549
15/9-F-11 A,3304.9,16.788,2.591,0.068,7.455,62.522,109.316,7.677
15/9-F-11 A,3305.0,15.761,2.591,0.066,7.506,62.276,109.441,7.699
15/9-F-11 A,3305.1,14.196,2.594,0.065,7.573,62.136,109.658,7.744
15/9-F-11 A,3305.2,13.061,2.598,0.065,7.602,62.037,110.959,7.805
15/9-F-11 A,3305.3,12.178,2.599,0.066,7.562,61.958,111.609,7.816
15/9-F-11 A,3305.4,11.744,2.596,0.067,7.484,61.9,111.574,7.818
15/9-F-11 A,3305.5,12.297,2.593,0.069,7.42,61.916,112.053,7.785
15/9-F-11 A,3305.6,11.528,2.592,0.071,7.392,62.052,112.517,7.676
15/9-F-11 A,3305.7,12.045,2.593,0.075,7.401,62.335,112.934,7.639
15/9-F-11 A,3305.8,14.855,2.592,0.074,7.433,62.801,113.187,7.645
15/9-F-11 A,3305.9,14.289,2.588,0.075,7.478,63.296,113.984,7.579
15/9-F-11 A,3306.0,14.213,2.584,0.076,7.524,63.808,115.651,7.507
15/9-F-11 A,3306.1,15.084,2.584,0.079,7.564,64.049,115.846,7.43
15/9-F-11 A,3306.2,15.701,2.591,0.08,7.604,64.166,115.815,7.483
15/9-F-11 A,3306.3,15.316,2.6,0.078,7.642,64.124,115.784,7.439
15/9-F-11 A,3306.4,15.491,2.606,0.079,7.668,63.934,115.164,7.332
15/9-F-11 A,3306.5,14.842,2.606,0.081,7.688,63.798,114.678,7.338
15/9-F-11 A,3306.6,14.058,2.603,0.081,7.698,63.872,114.823,7.427
15/9-F-11 A,3306.7,15.446,2.6,0.077,7.692,63.774,114.833,7.437
15/9-F-11 A,3306.8,16.527,2.598,0.077,7.664,63.664,114.97,7.385
15/9-F-11 A,3306.9,15.964,2.598,0.077,7.635,63.666,115.617,7.366
15/9-F-11 A,3307.0,15.894,2.597,0.078,7.626,63.787,115.833,7.394
15/9-F-11 A,3307.1,15.536,2.597,0.08,7.641,63.925,115.851,7.43
15/9-F-11 A,3307.2,15.665,2.597,0.083,7.664,63.956,115.741,7.363
15/9-F-11 A,3307.3,16.548,2.595,0.085,7.675,64.138,115.402,7.344
15/9-F-11 A,3307.4,18.187,2.591,0.086,7.645,64.406,114.918,7.415
15/9-F-11 A,3307.5,18.521,2.584,0.086,7.575,64.756,114.235,7.366
15/9-F-11 A,3307.6,17.796,2.578,0.084,7.492,65.049,113.898,7.165
15/9-F-11 A,3307.7,18.036,2.573,0.083,7.422,65.261,113.736,7.178
15/9-F-11 A,3307.8,16.455,2.573,0.081,7.394,65.066,113.31,7.282
15/9-F-11 A,3307.9,16.271,2.573,0.08,7.4,64.717,112.921,7.222
15/9-F-11 A,3308.0,16.289,2.576,0.079,7.429,64.251,112.557,7.33
15/9-F-11 A,3308.1,15.919,2.582,0.079,7.476,63.672,112.149,7.62
15/9-F-11 A,3308.2,14.799,2.587,0.078,7.539,63.241,111.738,7.601
15/9-F-11 A,3308.3,13.564,2.59,0.077,7.61,62.942,111.327,7.542
15/9-F-11 A,3308.4,13.483,2.589,0.077,7.664,62.885,112.317,7.46
15/9-F-11 A,3308.5,12.785,2.585,0.077,7.689,62.756,113.043,7.484
15/9-F-11 A,3308.6,11.758,2.581,0.077,7.688,62.55,113.494,7.516
15/9-F-11 A,3308.7,11.806,2.579,0.08,7.674,62.512,114.135,7.533
15/9-F-11 A,3308.8,12.071,2.579,0.079,7.638,62.48,114.462,7.576
15/9-F-11 A,3308.9,12.333,2.579,0.077,7.602,62.446,114.373,7.586
15/9-F-11 A,3309.0,10.945,2.579,0.077,7.537,62.507,114.178,7.579
15/9-F-11 A,3309.1,10.413,2.577,0.077,7.473,62.569,113.693,7.569
15/9-F-11 A,3309.2,10.221,2.574,0.078,7.442,62.617,112.764,7.567
15/9-F-11 A,3309.3,9.957,2.572,0.078,7.446,62.554,111.753,7.559
15/9-F-11 A,3309.4,9.921,2.573,0.077,7.476,62.469,110.812,7.559
15/9-F-11 A,3309.5,8.804,2.576,0.077,7.516,62.375,110.031,7.558
15/9-F-11 A,3309.6,9.228,2.578,0.079,7.56,62.47,110.056,7.59
15/9-F-11 A,3309.7,10.873,2.578,0.075,7.613,62.597,110.338,7.595
15/9-F-11 A,3309.8,11.544,2.578,0.074,7.653,62.699,110.8,7.625
15/9-F-11 A,3309.9,12.164,2.577,0.074,7.65,62.721,111.465,7.731
15/9-F-11 A,3310.0,12.996,2.578,0.074,7.603,62.731,112.179,7.753
15/9-F-11 A,3310.1,12.46,2.579,0.074,7.543,62.778,112.858,7.773
15/9-F-11 A,3310.2,12.076,2.581,0.075,7.506,62.873,114.179,7.792
15/9-F-11 A,3310.3,13.015,2.581,0.078,7.505,63.026,115.638,7.802
15/9-F-11 A,3310.4,13.316,2.578,0.074,7.54,63.344,116.632,7.846
15/9-F-11 A,3310.5,13.452,2.575,0.073,7.592,63.496,117.028,7.861
15/9-F-11 A,3310.6,14.142,2.573,0.074,7.63,63.573,116.825,7.871
15/9-F-11 A,3310.7,14.816,2.571,0.073,7.64,63.678,114.856,7.956
15/9-F-11 A,3310.8,14.638,2.57,0.072,7.643,63.686,113.434,8.059
15/9-F-11 A,3310.9,12.813,2.57,0.072,7.69,63.622,112.35,8.125
15/9-F-11 A,3311.0,12.64,2.572,0.072,7.775,63.422,111.307,8.441
15/9-F-11 A,3311.1,12.395,2.574,0.069,7.849,63.062,110.903,8.501
15/9-F-11 A,3311.2,13.717,2.576,0.068,7.85,62.581,110.935,8.555
15/9-F-11 A,3311.3,15.549,2.579,0.067,7.778,62.05,110.29,8.555
15/9-F-11 A,3311.4,15.81,2.581,0.068,7.678,61.497,109.196,8.582
15/9-F-11 A,3311.5,17.161,2.584,0.068,7.589,60.927,107.704,8.77
15/9-F-11 A,3311.6,18.882,2.587,0.066,7.525,60.388,106.046,8.843
15/9-F-11 A,3311.7,20.082,2.588,0.067,7.48,60.044,104.801,9.075
15/9-F-11 A,3311.8,18.829,2.587,0.067,7.451,59.908,104.0,9.237
15/9-F-11 A,3311.9,16.762,2.584,0.066,7.455,60.086,103.838,9.337
15/9-F-11 A,3312.0,16.957,2.582,0.068,7.484,60.231,103.686,9.348
15/9-F-11 A,3312.1,17.643,2.581,0.066,7.525,60.313,103.505,9.466
15/9-F-11 A,3312.2,18.871,2.581,0.066,7.561,60.49,103.399,9.489
15/9-F-11 A,3312.3,19.323,2.581,0.068,7.581,60.756,103.46,9.33
15/9-F-11 A,3312.4,19.656,2.582,0.069,7.587,61.146,103.778,9.115
15/9-F-11 A,3312.5,20.042,2.584,0.07,7.598,61.684,104.579,8.966
15/9-F-11 A,3312.6,20.52,2.585,0.073,7.627,62.451,105.982,8.75
15/9-F-11 A,3312.7,20.787,2.584,0.08,7.655,63.623,108.421,8.3
15/9-F-11 A,3312.8,23.702,2.582,0.088,7.653,64.877,110.815,7.998
15/9-F-11 A,3312.9,29.069,2.581,0.097,7.648,66.092,113.68,8.066
15/9-F-11 A,3313.0,35.983,2.582,0.107,7.672,67.167,117.743,8.11
15/9-F-11 A,3313.1,43.787,2.584,0.114,7.705,68.125,120.961,7.684
15/9-F-11 A,3313.2,49.827,2.584,0.125,7.698,68.879,123.504,6.984
15/9-F-11 A,3313.3,58.593,2.578,0.137,7.636,69.103,124.726,6.448
15/9-F-11 A,3313.4,68.429,2.567,0.146,7.549,68.907,122.33,5.702
15/9-F-11 A,3313.5,71.482,2.555,0.146,7.476,68.375,117.935,3.859
15/9-F-11 A,3313.6,70.297,2.547,0.143,7.416,67.133,111.184,3.201
15/9-F-11 A,3313.7,66.39,2.543,0.135,7.351,65.97,107.026,3.884
15/9-F-11 A,3313.8,60.927,2.541,0.127,7.277,64.848,104.437,4.307
15/9-F-11 A,3313.9,56.435,2.539,0.116,7.217,63.733,103.497,4.615
15/9-F-11 A,3314.0,49.196,2.539,0.106,7.201,62.931,104.154,6.356
15/9-F-11 A,3314.1,40.097,2.543,0.098,7.223,62.351,105.781,9.007
15/9-F-11 A,3314.2,32.6,2.552,0.091,7.258,62.058,107.285,8.354
15/9-F-11 A,3314.3,26.769,2.56,0.087,7.265,62.079,108.488,7.35
15/9-F-11 A,3314.4,22.499,2.565,0.087,7.215,62.348,109.475,7.284
15/9-F-11 A,3314.5,21.893,2.565,0.086,7.117,62.85,110.708,7.47
15/9-F-11 A,3314.6,20.954,2.564,0.083,7.017,63.422,110.904,7.947
15/9-F-11 A,3314.7,20.734,2.562,0.083,6.961,64.057,110.153,7.964
15/9-F-11 A,3314.8,19.376,2.56,0.084,6.972,64.247,109.623,8.063
15/9-F-11 A,3314.9,20.031,2.558,0.083,7.034,64.236,109.291,8.068
15/9-F-11 A,3315.0,21.451,2.557,0.082,7.125,64.002,109.176,7.887
15/9-F-11 A,3315.1,21.569,2.557,0.082,7.236,63.998,108.856,7.745
15/9-F-11 A,3315.2,20.651,2.559,0.083,7.357,64.065,108.76,7.742
15/9-F-11 A,3315.3,20.688,2.563,0.084,7.471,64.211,108.977,7.705
15/9-F-11 A,3315.4,20.46,2.566,0.085,7.555,64.368,108.526,7.692
15/9-F-11 A,3315.5,20.577,2.568,0.085,7.6,64.462,108.116,7.715
15/9-F-11 A,3315.6,20.38,2.568,0.084,7.594,64.454,107.892,7.715
15/9-F-11 A,3315.7,19.597,2.566,0.084,7.536,64.134,107.602,7.617
15/9-F-11 A,3315.8,18.894,2.565,0.083,7.442,63.673,107.497,7.636
15/9-F-11 A,3315.9,18.535,2.564,0.084,7.349,63.035,107.789,7.946
15/9-F-11 A,3316.0,19.212,2.563,0.084,7.29,62.678,108.709,8.142
15/9-F-11 A,3316.1,18.45,2.563,0.084,7.282,62.5,110.045,8.183
15/9-F-11 A,3316.2,17.267,2.562,0.083,7.326,62.602,112.051,8.252
15/9-F-11 A,3316.3,16.048,2.56,0.082,7.403,62.853,112.897,8.207
15/9-F-11 A,3316.4,14.892,2.559,0.072,7.474,63.056,112.81,8.197
15/9-F-11 A,3316.5,13.901,2.56,0.081,7.519,62.958,110.885,8.2
15/9-F-11 A,3316.6,14.578,2.564,0.081,7.549,62.767,109.476,8.139
15/9-F-11 A,3316.7,14.929,2.57,0.081,7.588,62.528,108.246,8.132
15/9-F-11 A,3316.8,15.253,2.574,0.081,7.646,62.246,106.887,8.167
15/9-F-11 A,3316.9,16.175,2.574,0.08,7.703,62.028,105.581,8.179
15/9-F-11 A,3317.0,15.401,2.572,0.081,7.733,61.791,104.376,8.179
15/9-F-11 A,3317.1,14.426,2.569,0.075,7.731,61.236,103.635,8.096
15/9-F-11 A,3317.2,13.381,2.568,0.071,7.714,60.636,103.476,8.052
15/9-F-11 A,3317.3,11.7,2.569,0.068,7.705,60.035,103.678,8.087
15/9-F-11 A,3317.4,9.927,2.571,0.066,7.713,59.701,103.845,8.069
15/9-F-11 A,3317.5,9.431,2.573,0.065,7.744,59.494,104.387,8.001
15/9-F-11 A,3317.6,8.638,2.576,0.063,7.774,59.396,105.209,7.924
15/9-F-11 A,3317.7,8.263,2.58,0.061,7.769,59.568,105.835,7.844
15/9-F-11 A,3317.8,7.833,2.585,0.063,7.741,59.808,106.803,7.769
15/9-F-11 A,3317.9,7.326,2.59,0.063,7.736,60.113,108.094,7.743
15/9-F-11 A,3318.0,8.319,2.593,0.06,7.778,60.45,108.848,7.727
15/9-F-11 A,3318.1,8.059,2.595,0.061,7.855,60.817,109.144,7.711
15/9-F-11 A,3318.2,8.165,2.598,0.066,7.921,61.215,108.922,7.696
15/9-F-11 A,3318.3,8.592,2.6,0.067,7.941,61.484,108.951,7.692
15/9-F-11 A,3318.4,8.844,2.599,0.066,7.906,61.692,108.789,7.667
15/9-F-11 A,3318.5,9.496,2.595,0.07,7.845,61.825,108.345,7.476
15/9-F-11 A,3318.6,10.16,2.589,0.071,7.81,61.737,108.027,7.338
15/9-F-11 A,3318.7,9.578,2.584,0.073,7.841,61.606,107.497,7.311
15/9-F-11 A,3318.8,8.75,2.58,0.074,7.922,61.443,106.591,7.262
15/9-F-11 A,3318.9,7.803,2.578,0.075,7.993,61.282,105.923,7.196
15/9-F-11 A,3319.0,7.554,2.576,0.075,8.019,61.117,105.418,7.162
15/9-F-11 A,3319.1,6.493,2.576,0.075,8.014,60.944,105.162,7.031
15/9-F-11 A,3319.2,6.559,2.576,0.075,7.999,60.715,105.943,6.966
15/9-F-11 A,3319.3,7.051,2.576,0.075,7.989,60.487,106.769,6.989
15/9-F-11 A,3319.4,6.854,2.577,0.075,7.988,60.297,107.05,7.073
15/9-F-11 A,3319.5,6.48,2.578,0.076,7.989,60.172,106.999,7.242
15/9-F-11 A,3319.6,6.893,2.578,0.077,7.99,60.045,106.692,7.301
15/9-F-11 A,3319.7,7.338,2.578,0.076,8.003,59.839,105.897,7.193
15/9-F-11 A,3319.8,7.34,2.579,0.074,8.02,59.508,105.443,7.227
15/9-F-11 A,3319.9,7.466,2.579,0.07,8.025,59.148,105.304,7.341
15/9-F-11 A,3320.0,8.592,2.58,0.071,8.018,58.892,105.944,7.377
15/9-F-11 A,3320.1,8.513,2.58,0.07,7.999,58.744,106.7,7.5
15/9-F-11 A,3320.2,7.849,2.583,0.069,7.962,58.655,107.56,7.636
15/9-F-11 A,3320.3,7.961,2.589,0.067,7.914,58.572,108.711,7.721
15/9-F-11 A,3320.4,6.249,2.594,0.064,7.884,58.5,108.287,7.769
15/9-F-11 A,3320.5,5.655,2.596,0.06,7.889,58.454,106.961,7.815
15/9-F-11 A,3320.6,6.266,2.596,0.058,7.908,58.611,106.693,7.871
15/9-F-11 A,3320.7,5.893,2.596,0.056,7.91,58.878,106.549,7.964
15/9-F-11 A,3320.8,6.684,2.598,0.055,7.874,59.236,106.528,8.025
15/9-F-11 A,3320.9,6.69,2.601,0.052,7.806,59.764,107.153,8.063
15/9-F-11 A,3321.0,7.156,2.605,0.056,7.763,60.243,107.771,8.122
15/9-F-11 A,3321.1,7.699,2.607,0.057,7.782,60.678,108.387,8.175
15/9-F-11 A,3321.2,8.577,2.607,0.058,7.844,60.792,109.214,8.204
15/9-F-11 A,3321.3,9.972,2.606,0.06,7.938,60.975,110.217,8.323
15/9-F-11 A,3321.4,9.932,2.604,0.062,8.022,61.235,111.412,8.33
15/9-F-11 A,3321.5,10.591,2.603,0.063,8.078,61.416,112.356,8.29
15/9-F-11 A,3321.6,11.59,2.603,0.064,8.086,61.662,112.708,8.305
15/9-F-11 A,3321.7,12.114,2.601,0.066,8.045,62.003,112.261,8.492
15/9-F-11 A,3321.8,12.22,2.597,0.067,7.966,62.115,111.48,8.675
15/9-F-11 A,3321.9,12.67,2.592,0.066,7.887,62.182,110.438,8.77
15/9-F-11 A,3322.0,13.184,2.588,0.071,7.851,62.219,109.021,8.746
15/9-F-11 A,3322.1,14.307,2.588,0.071,7.85,61.871,108.706,8.726
15/9-F-11 A,3322.2,15.005,2.59,0.07,7.849,61.448,108.668,8.624
15/9-F-11 A,3322.3,14.534,2.595,0.066,7.83,61.014,108.792,8.494
15/9-F-11 A,3322.4,13.084,2.601,0.067,7.809,60.616,108.406,8.648
15/9-F-11 A,3322.5,13.904,2.606,0.066,7.814,60.257,107.81,8.958
15/9-F-11 A,3322.6,13.653,2.61,0.065,7.837,59.976,107.001,9.593
15/9-F-11 A,3322.7,12.438,2.609,0.064,7.852,59.604,106.055,9.972
15/9-F-11 A,3322.8,12.473,2.606,0.064,7.857,59.209,105.097,10.097
15/9-F-11 A,3322.9,12.041,2.601,0.06,7.878,58.832,104.252,10.099
15/9-F-11 A,3323.0,11.884,2.599,0.059,7.917,58.526,103.923,9.758
15/9-F-11 A,3323.1,11.366,2.599,0.059,7.943,58.283,103.856,9.645
15/9-F-11 A,3323.2,10.919,2.601,0.058,7.934,58.191,103.979,10.086
15/9-F-11 A,3323.3,11.162,2.605,0.061,7.905,58.124,104.156,10.434
15/9-F-11 A,3323.4,10.644,2.611,0.059,7.882,58.077,104.277,10.617
15/9-F-11 A,3323.5,9.531,2.617,0.056,7.874,58.074,103.842,10.729
15/9-F-11 A,3323.6,9.206,2.621,0.053,7.871,58.107,103.529,10.743
15/9-F-11 A,3323.7,8.439,2.622,0.051,7.866,58.175,103.325,10.672
15/9-F-11 A,3323.8,8.444,2.62,0.05,7.861,58.378,103.451,10.616
15/9-F-11 A,3323.9,7.473,2.617,0.051,7.854,58.711,103.843,10.605
15/9-F-11 A,3324.0,7.536,2.614,0.052,7.841,59.141,104.442,10.571
15/9-F-11 A,3324.1,7.984,2.613,0.052,7.821,59.465,104.942,10.577
15/9-F-11 A,3324.2,8.985,2.611,0.053,7.801,59.707,105.274,10.571
15/9-F-11 A,3324.3,9.677,2.609,0.052,7.782,59.871,105.448,10.496
15/9-F-11 A,3324.4,10.243,2.606,0.054,7.756,59.978,105.923,10.363
15/9-F-11 A,3324.5,10.702,2.604,0.057,7.737,60.106,106.804,10.32
15/9-F-11 A,3324.6,11.374,2.602,0.059,7.737,60.261,108.147,10.198
15/9-F-11 A,3324.7,11.507,2.6,0.062,7.764,60.332,108.079,10.104
15/9-F-11 A,3324.8,11.23,2.599,0.064,7.801,60.339,108.114,9.992
15/9-F-11 A,3324.9,12.051,2.597,0.066,7.831,60.265,108.421,9.886
15/9-F-11 A,3325.0,11.462,2.595,0.067,7.841,60.056,107.462,9.597
