WELL,DEPTH,GR,RHOB,NPHI,PEF,DT,DTS,RT
15/9-F-11 A,2590.2,29.921,2.264,0.226,5.043,89.685,242.829,1.056
15/9-F-11 A,2590.3,35.445,2.275,0.239,5.293,89.523,245.432,1.185
15/9-F-11 A,2590.4,41.969,2.297,0.248,5.641,88.939,245.345,1.318
15/9-F-11 A,2590.5,46.436,2.329,0.254,6.023,87.974,242.805,1.406
15/9-F-11 A,2590.6,49.185,2.368,0.254,6.38,87.208,244.494,1.537
15/9-F-11 A,2590.7,48.965,2.408,0.253,6.712,86.061,244.36,1.736
15/9-F-11 A,2590.8,52.202,2.441,0.252,7.011,84.494,242.214,1.797
15/9-F-11 A,2590.9,56.954,2.462,0.254,7.174,83.733,243.185,1.845
15/9-F-11 A,2591.0,57.067,2.472,0.255,7.137,83.249,243.406,1.664
15/9-F-11 A,2591.1,54.373,2.471,0.253,6.92,83.084,242.409,1.455
15/9-F-11 A,2591.2,48.03,2.455,0.25,6.541,83.544,242.523,1.257
15/9-F-11 A,2591.3,42.92,2.419,0.244,6.032,84.149,242.49,1.154
15/9-F-11 A,2591.4,40.414,2.365,0.242,5.538,84.882,242.019,1.103
15/9-F-11 A,2591.5,39.801,2.316,0.244,5.259,85.576,242.508,0.947
15/9-F-11 A,2591.6,38.956,2.286,0.244,5.169,86.27,243.06,0.753
15/9-F-11 A,2591.7,38.122,2.277,0.246,5.147,86.627,243.237,0.686
15/9-F-11 A,2591.8,37.29,2.267,0.247,5.124,86.983,243.414,0.644
15/9-F-11 A,2591.9,36.951,2.252,0.252,5.094,87.977,242.893,0.627
15/9-F-11 A,2592.0,35.339,2.239,0.251,5.087,89.088,242.542,0.573
15/9-F-11 A,2592.1,34.695,2.228,0.252,5.103,90.327,243.148,0.562
15/9-F-11 A,2592.2,34.101,2.219,0.254,5.129,91.608,244.247,0.552
15/9-F-11 A,2592.3,33.614,2.211,0.256,5.148,93.05,245.454,0.521
15/9-F-11 A,2592.4,33.458,2.202,0.258,5.15,94.969,246.508,0.476
